id,device_name,device_code,ip,status
422,K104+165-右侧-快球摄像机,91-A1-68_1,13.13.80.7,1
423,K105+200-右侧-快球摄像机,13010000001323138013_1,13.13.80.13,1
424,K106+100-右侧-快球摄像机,91-A1-79_1,13.13.80.24,1
425,K107+000-右侧-快球摄像机,91-A1-7A_1,13.13.80.29,1
426,K107+850-右侧-快球摄像机,91-A1-73_1,13.13.80.39,1
427,K108+850-右侧-快球摄像机,91-A1-7C_1,13.13.80.50,1
428,K109+200-右侧-快球摄像机,91-A1-80_1,13.13.80.54,1
429,K110+320-右侧-快球摄像机,91-A1-74_1,13.13.80.69,1
430,K111+000-右侧-快球摄像机,91-A1-76_1,13.13.80.75,1
431,K111+900-右侧-快球摄像机,BB-44-42_1,13.13.80.82,1
432,K112+320-右侧-快球摄像机,91-A1-81_1,13.13.80.86,1
433,K113+300-右侧-快球摄像机,13-13-80-101_1,13.13.80.101,1
434,K114+325-右侧-快球摄像机,BB-44-26_1,13.13.80.111,1
435,K116+420-右侧-快球摄像机,BB-44-1C_1,13.13.80.122,1
436,K117+380-右侧-快球摄像机,BB-44-0A_1,13.13.80.130,1
437,K118+377-右侧-快球摄像机,BB-43-D9_1,13.13.80.138,1
438,K119+300-右侧-快球摄像机,BB-44-30_1,13.13.81.5,1
439,K120+300-右侧-快球摄像机,91-A1-7D_1,13.13.81.9,1
440,K121+300-右侧-快球摄像机,BB-43-FA_1,13.13.81.19,1
441,K122+200-右侧-快球摄像机,BB-44-3A_1,13.13.81.25,1
442,K123+380-右侧-快球摄像机,BB-43-EB_1,13.13.81.35,1
443,K124+320-右侧-快球摄像机,BB-44-63_1,13.13.81.51,1
444,K125+250-右侧-快球摄像机,BB-44-5B_1,13.13.81.65,1
445,K126+423-右侧-快球摄像机,BB-43-E3_1,13.13.81.72,2
446,K127+420-右侧-快球摄像机,B8-AB-CB_1,13.13.81.86,1
447,K128+420-右侧-快球摄像机,BB-44-14_1,13.13.81.95,1
448,K129+500-右侧-快球摄像机,BB-44-38_1,13.13.81.102,1
449,K130+440-右侧-快球摄像机,BB-43-ED_1,13.13.81.112,1
450,K131+420-右侧-快球摄像机,BB-44-46_1,13.13.81.121,1
451,K132+428-右侧-快球摄像机,BB-43-F4_1,13.13.81.127,1
452,K133+431-右侧-快球摄像机,BB-44-0C_1,13.13.81.140,1
453,K134+432-右侧-快球摄像机,BB-44-2E_1,13.13.81.149,1
454,K135+375-右侧-快球摄像机,BB-43-FF_1,13.13.81.156,1
455,K136+436-右侧-快球摄像机,BB-44-5F_1,13.13.81.165,1
456,K137+400-右侧-快球摄像机,B8-AB-A8_1,13.13.81.172,1
457,K138+358-右侧-快球摄像机,BC-A1-43_1,13.13.82.2,1
458,K139+400-右侧-快球摄像机,BB-43-F2_1,13.13.82.15,1
459,K140+456-右侧-快球摄像机,BB-44-56_1,13.13.82.26,1
